transaction_id,timestamp,amount_inr,payment_method,error_code,error_message
pay_100001,2026-06-10 07:54:00,5696.79,Card,BAD_REQUEST_ERROR_INSUFFICIENT_FUNDS,Transaction declined: insufficient funds
pay_100002,2026-06-20 21:37:00,890.46,Card,RISK_ENGINE_BLOCKED,Payment flagged for manual review
pay_100003,2026-07-24 15:16:00,5627.95,Card,CARD_EXPIRED,Card has expired
pay_100004,2026-06-26 07:01:00,10651.97,Netbanking,OTP_TIMEOUT,OTP entry timed out
pay_100005,2026-06-09 19:16:00,2454.73,Card,CARD_EXPIRED,Transaction declined: card expiry date invalid
pay_100006,2026-07-19 19:24:00,18283.83,Card,SESSION_EXPIRED,Payment session expired before completion
pay_100007,2026-07-27 07:10:00,20760.71,Netbanking,GATEWAY_ERROR_INSUFFICIENT_BALANCE,Payment failed due to insufficient balance in account
pay_100008,2026-06-27 08:10:00,16582.39,Card,OTP_TIMEOUT,OTP entry timed out
pay_100009,2026-07-28 20:40:00,7057.64,Netbanking,BAD_REQUEST_ERROR_INSUFFICIENT_FUNDS,Payment failed due to insufficient balance in account
pay_100010,2026-06-25 07:13:00,5356.25,UPI,OTP_TIMEOUT,Payment session expired before completion
pay_100011,2026-06-25 13:42:00,11637.17,Card,BAD_REQUEST_ERROR_INSUFFICIENT_FUNDS,Payment failed due to insufficient balance in account
pay_100012,2026-06-03 22:07:00,5841.84,Card,RISK_ENGINE_BLOCKED,Payment flagged for manual review
pay_100013,2026-07-22 15:01:00,5392.92,Card,SESSION_EXPIRED,Payment session expired before completion
pay_100014,2026-07-29 12:19:00,22134.38,UPI,OTP_TIMEOUT,Payment session expired before completion
pay_100015,2026-07-22 02:19:00,6278.69,UPI,GATEWAY_TIMEOUT,Gateway timeout while processing payment
pay_100016,2026-06-13 14:11:00,9145.61,UPI,FRAUD_SUSPECTED,Payment flagged for manual review
pay_100017,2026-06-14 21:53:00,21548.41,Card,FRAUD_SUSPECTED,Transaction blocked by risk engine
pay_100018,2026-07-13 14:28:00,9633.24,Card,GATEWAY_ERROR_EXPIRED_CARD,Card has expired
pay_100019,2026-07-19 21:01:00,17090.5,Card,FRAUD_SUSPECTED,Transaction blocked by risk engine
pay_100020,2026-07-12 07:10:00,10953.92,UPI,SESSION_EXPIRED,OTP entry timed out
