transaction_id,true_root_cause,right_action,recovery_prob_if_right_action,recovery_prob_if_generic_retry
pay_100001,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100002,risk_block,manual_review_no_retry,0.3,0.02
pay_100003,expired_card,prompt_update_card_or_switch_method,0.65,0.05
pay_100004,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100005,expired_card,prompt_update_card_or_switch_method,0.65,0.05
pay_100006,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100007,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100008,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100009,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100010,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100011,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100012,risk_block,manual_review_no_retry,0.3,0.02
pay_100013,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100014,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100015,gateway_method_degraded,auto_switch_method,0.6,0.2
pay_100016,risk_block,manual_review_no_retry,0.3,0.02
pay_100017,risk_block,manual_review_no_retry,0.3,0.02
pay_100018,expired_card,prompt_update_card_or_switch_method,0.65,0.05
pay_100019,risk_block,manual_review_no_retry,0.3,0.02
pay_100020,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100021,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100022,risk_block,manual_review_no_retry,0.3,0.02
pay_100023,risk_block,manual_review_no_retry,0.3,0.02
pay_100024,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100025,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100026,risk_block,manual_review_no_retry,0.3,0.02
pay_100027,expired_card,prompt_update_card_or_switch_method,0.65,0.05
pay_100028,gateway_method_degraded,auto_switch_method,0.6,0.2
pay_100029,risk_block,manual_review_no_retry,0.3,0.02
pay_100030,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100031,risk_block,manual_review_no_retry,0.3,0.02
pay_100032,risk_block,manual_review_no_retry,0.3,0.02
pay_100033,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100034,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100035,expired_card,prompt_update_card_or_switch_method,0.65,0.05
pay_100036,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100037,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100038,expired_card,prompt_update_card_or_switch_method,0.65,0.05
pay_100039,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100040,gateway_method_degraded,auto_switch_method,0.6,0.2
pay_100041,expired_card,prompt_update_card_or_switch_method,0.65,0.05
pay_100042,gateway_method_degraded,auto_switch_method,0.6,0.2
pay_100043,risk_block,manual_review_no_retry,0.3,0.02
pay_100044,expired_card,prompt_update_card_or_switch_method,0.65,0.05
pay_100045,risk_block,manual_review_no_retry,0.3,0.02
pay_100046,expired_card,prompt_update_card_or_switch_method,0.65,0.05
pay_100047,gateway_method_degraded,auto_switch_method,0.6,0.2
pay_100048,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100049,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100050,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100051,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100052,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100053,risk_block,manual_review_no_retry,0.3,0.02
pay_100054,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100055,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100056,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100057,risk_block,manual_review_no_retry,0.3,0.02
pay_100058,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100059,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100060,expired_card,prompt_update_card_or_switch_method,0.65,0.05
pay_100061,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100062,expired_card,prompt_update_card_or_switch_method,0.65,0.05
pay_100063,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100064,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100065,otp_session_timeout,immediate_retry_fresh_session,0.8,0.55
pay_100066,risk_block,manual_review_no_retry,0.3,0.02
pay_100067,insufficient_funds,delayed_retry_or_switch_method,0.55,0.15
pay_100068,risk_block,manual_review_no_retry,0.3,0.02
pay_100069,gateway_method_degraded,auto_switch_method,0.6,0.2
pay_100070,gateway_method_degraded,auto_switch_method,0.6,0.2
