transaction_id,amount_inr,predicted_root_cause,true_root_cause,classification_correct,action_taken,outcome,amount_recovered,reasoning
pay_100001,21973.13,insufficient_funds,insufficient_funds,True,delayed_retry_or_switch_method,recovered,21973.13,Predicted 'insufficient_funds' (correct) -> right action taken.
pay_100002,6724.91,otp_session_timeout,risk_block,False,immediate_retry_fresh_session,not_recovered,6724.91,"Predicted 'otp_session_timeout' but true cause was 'risk_block' -> mismatched action, lower success odds."
pay_100003,20865.78,insufficient_funds,expired_card,False,delayed_retry_or_switch_method,not_recovered,20865.78,"Predicted 'insufficient_funds' but true cause was 'expired_card' -> mismatched action, lower success odds."
pay_100004,16107.1,insufficient_funds,otp_session_timeout,False,delayed_retry_or_switch_method,recovered,16107.1,"Predicted 'insufficient_funds' but true cause was 'otp_session_timeout' -> mismatched action, lower success odds."
pay_100005,24040.48,expired_card,expired_card,True,prompt_update_card_or_switch_method,recovered,24040.48,Predicted 'expired_card' (correct) -> right action taken.
pay_100006,16579.62,risk_block,otp_session_timeout,False,manual_review_no_retry,escalated_unresolved,0.0,Predicted 'risk_block' -> no auto-retry (stopping rule: risk/unknown cases are never auto-retried). Escalated to manual review.
pay_100007,24754.7,gateway_method_degraded,insufficient_funds,False,auto_switch_method,recovered,24754.7,"Predicted 'gateway_method_degraded' but true cause was 'insufficient_funds' -> mismatched action, lower success odds."
pay_100008,1200.35,expired_card,otp_session_timeout,False,prompt_update_card_or_switch_method,recovered,1200.35,"Predicted 'expired_card' but true cause was 'otp_session_timeout' -> mismatched action, lower success odds."
pay_100009,5356.22,gateway_method_degraded,insufficient_funds,False,auto_switch_method,recovered,5356.22,"Predicted 'gateway_method_degraded' but true cause was 'insufficient_funds' -> mismatched action, lower success odds."
pay_100010,3816.98,insufficient_funds,otp_session_timeout,False,delayed_retry_or_switch_method,recovered,3816.98,"Predicted 'insufficient_funds' but true cause was 'otp_session_timeout' -> mismatched action, lower success odds."
pay_100011,24863.03,risk_block,insufficient_funds,False,manual_review_no_retry,recovered_via_manual_review,24863.03,Predicted 'risk_block' -> no auto-retry (stopping rule: risk/unknown cases are never auto-retried). Escalated to manual review.
pay_100012,21447.3,gateway_method_degraded,risk_block,False,auto_switch_method,not_recovered,21447.3,"Predicted 'gateway_method_degraded' but true cause was 'risk_block' -> mismatched action, lower success odds."
pay_100013,1419.82,otp_session_timeout,otp_session_timeout,True,immediate_retry_fresh_session,recovered,1419.82,Predicted 'otp_session_timeout' (correct) -> right action taken.
pay_100014,21052.87,gateway_method_degraded,otp_session_timeout,False,auto_switch_method,not_recovered,21052.87,"Predicted 'gateway_method_degraded' but true cause was 'otp_session_timeout' -> mismatched action, lower success odds."
pay_100015,14123.28,insufficient_funds,gateway_method_degraded,False,delayed_retry_or_switch_method,recovered,14123.28,"Predicted 'insufficient_funds' but true cause was 'gateway_method_degraded' -> mismatched action, lower success odds."
pay_100016,11392.34,expired_card,risk_block,False,prompt_update_card_or_switch_method,not_recovered,11392.34,"Predicted 'expired_card' but true cause was 'risk_block' -> mismatched action, lower success odds."
pay_100017,23873.42,risk_block,risk_block,True,manual_review_no_retry,escalated_unresolved,0.0,Predicted 'risk_block' -> no auto-retry (stopping rule: risk/unknown cases are never auto-retried). Escalated to manual review.
pay_100018,8911.35,expired_card,expired_card,True,prompt_update_card_or_switch_method,not_recovered,8911.35,Predicted 'expired_card' (correct) -> right action taken.
pay_100019,11400.02,gateway_method_degraded,risk_block,False,auto_switch_method,not_recovered,11400.02,"Predicted 'gateway_method_degraded' but true cause was 'risk_block' -> mismatched action, lower success odds."
pay_100020,19777.7,risk_block,otp_session_timeout,False,manual_review_no_retry,escalated_unresolved,0.0,Predicted 'risk_block' -> no auto-retry (stopping rule: risk/unknown cases are never auto-retried). Escalated to manual review.
pay_100021,13527.47,otp_session_timeout,insufficient_funds,False,immediate_retry_fresh_session,not_recovered,13527.47,"Predicted 'otp_session_timeout' but true cause was 'insufficient_funds' -> mismatched action, lower success odds."
pay_100022,6865.74,gateway_method_degraded,risk_block,False,auto_switch_method,not_recovered,6865.74,"Predicted 'gateway_method_degraded' but true cause was 'risk_block' -> mismatched action, lower success odds."
pay_100023,19465.36,insufficient_funds,risk_block,False,delayed_retry_or_switch_method,not_recovered,19465.36,"Predicted 'insufficient_funds' but true cause was 'risk_block' -> mismatched action, lower success odds."
pay_100024,21017.76,otp_session_timeout,otp_session_timeout,True,immediate_retry_fresh_session,recovered,21017.76,Predicted 'otp_session_timeout' (correct) -> right action taken.
pay_100025,18275.43,insufficient_funds,insufficient_funds,True,delayed_retry_or_switch_method,recovered,18275.43,Predicted 'insufficient_funds' (correct) -> right action taken.
pay_100026,13628.3,risk_block,risk_block,True,manual_review_no_retry,recovered_via_manual_review,13628.3,Predicted 'risk_block' -> no auto-retry (stopping rule: risk/unknown cases are never auto-retried). Escalated to manual review.
pay_100027,18632.01,otp_session_timeout,expired_card,False,immediate_retry_fresh_session,not_recovered,18632.01,"Predicted 'otp_session_timeout' but true cause was 'expired_card' -> mismatched action, lower success odds."
pay_100028,8525.24,expired_card,gateway_method_degraded,False,prompt_update_card_or_switch_method,not_recovered,8525.24,"Predicted 'expired_card' but true cause was 'gateway_method_degraded' -> mismatched action, lower success odds."
pay_100029,16905.81,gateway_method_degraded,risk_block,False,auto_switch_method,not_recovered,16905.81,"Predicted 'gateway_method_degraded' but true cause was 'risk_block' -> mismatched action, lower success odds."
pay_100030,10913.25,expired_card,insufficient_funds,False,prompt_update_card_or_switch_method,not_recovered,10913.25,"Predicted 'expired_card' but true cause was 'insufficient_funds' -> mismatched action, lower success odds."
pay_100031,21861.48,insufficient_funds,risk_block,False,delayed_retry_or_switch_method,not_recovered,21861.48,"Predicted 'insufficient_funds' but true cause was 'risk_block' -> mismatched action, lower success odds."
pay_100032,18480.47,risk_block,risk_block,True,manual_review_no_retry,escalated_unresolved,0.0,Predicted 'risk_block' -> no auto-retry (stopping rule: risk/unknown cases are never auto-retried). Escalated to manual review.
pay_100033,20381.76,insufficient_funds,insufficient_funds,True,delayed_retry_or_switch_method,recovered,20381.76,Predicted 'insufficient_funds' (correct) -> right action taken.
pay_100034,16286.69,insufficient_funds,insufficient_funds,True,delayed_retry_or_switch_method,recovered,16286.69,Predicted 'insufficient_funds' (correct) -> right action taken.
pay_100035,19396.56,risk_block,expired_card,False,manual_review_no_retry,recovered_via_manual_review,19396.56,Predicted 'risk_block' -> no auto-retry (stopping rule: risk/unknown cases are never auto-retried). Escalated to manual review.
pay_100036,9806.49,insufficient_funds,otp_session_timeout,False,delayed_retry_or_switch_method,recovered,9806.49,"Predicted 'insufficient_funds' but true cause was 'otp_session_timeout' -> mismatched action, lower success odds."
pay_100037,4229.14,gateway_method_degraded,insufficient_funds,False,auto_switch_method,not_recovered,4229.14,"Predicted 'gateway_method_degraded' but true cause was 'insufficient_funds' -> mismatched action, lower success odds."
pay_100038,13070.0,insufficient_funds,expired_card,False,delayed_retry_or_switch_method,not_recovered,13070.0,"Predicted 'insufficient_funds' but true cause was 'expired_card' -> mismatched action, lower success odds."
pay_100039,7732.54,gateway_method_degraded,insufficient_funds,False,auto_switch_method,not_recovered,7732.54,"Predicted 'gateway_method_degraded' but true cause was 'insufficient_funds' -> mismatched action, lower success odds."
pay_100040,15445.77,insufficient_funds,gateway_method_degraded,False,delayed_retry_or_switch_method,not_recovered,15445.77,"Predicted 'insufficient_funds' but true cause was 'gateway_method_degraded' -> mismatched action, lower success odds."
pay_100041,23725.16,otp_session_timeout,expired_card,False,immediate_retry_fresh_session,not_recovered,23725.16,"Predicted 'otp_session_timeout' but true cause was 'expired_card' -> mismatched action, lower success odds."
pay_100042,3335.41,otp_session_timeout,gateway_method_degraded,False,immediate_retry_fresh_session,not_recovered,3335.41,"Predicted 'otp_session_timeout' but true cause was 'gateway_method_degraded' -> mismatched action, lower success odds."
pay_100043,14463.57,otp_session_timeout,risk_block,False,immediate_retry_fresh_session,not_recovered,14463.57,"Predicted 'otp_session_timeout' but true cause was 'risk_block' -> mismatched action, lower success odds."
pay_100044,11196.64,gateway_method_degraded,expired_card,False,auto_switch_method,not_recovered,11196.64,"Predicted 'gateway_method_degraded' but true cause was 'expired_card' -> mismatched action, lower success odds."
pay_100045,1340.51,expired_card,risk_block,False,prompt_update_card_or_switch_method,not_recovered,1340.51,"Predicted 'expired_card' but true cause was 'risk_block' -> mismatched action, lower success odds."
pay_100046,5667.2,otp_session_timeout,expired_card,False,immediate_retry_fresh_session,not_recovered,5667.2,"Predicted 'otp_session_timeout' but true cause was 'expired_card' -> mismatched action, lower success odds."
pay_100047,15120.65,gateway_method_degraded,gateway_method_degraded,True,auto_switch_method,recovered,15120.65,Predicted 'gateway_method_degraded' (correct) -> right action taken.
pay_100048,18782.95,risk_block,insufficient_funds,False,manual_review_no_retry,escalated_unresolved,0.0,Predicted 'risk_block' -> no auto-retry (stopping rule: risk/unknown cases are never auto-retried). Escalated to manual review.
pay_100049,22398.19,otp_session_timeout,insufficient_funds,False,immediate_retry_fresh_session,not_recovered,22398.19,"Predicted 'otp_session_timeout' but true cause was 'insufficient_funds' -> mismatched action, lower success odds."
pay_100050,3977.76,otp_session_timeout,otp_session_timeout,True,immediate_retry_fresh_session,recovered,3977.76,Predicted 'otp_session_timeout' (correct) -> right action taken.
